"","SN01_1","SN02_1","SN09_1","SN12_1","SN17_1","SN11","SN06_1","SN16_1","SN18_2","SN15_1","SN05_1","SN08","SN13_4","SN04_1","SN10_1"
"ENSG00000165688",2591,1578,1949,1383,1731,1983,1320,1757,1229,1601,2303,1366,1626,1092,966
"ENSG00000148396",8532,7851,7334,7135,6368,9688,6960,8281,6152,8565,6253,5860,10083,7104,8382
"ENSG00000165684",1794,1593,910,1254,875,2814,1561,1172,1259,786,705,571,2606,960,1132
"ENSG00000148384",1023,1339,675,999,748,1724,1373,820,827,787,675,486,1603,780,987
"ENSG00000148400",12781,21787,6410,8116,3678,20513,15517,14609,10056,10956,6278,11303,21817,6433,8347
"ENSG00000172889",264,783,697,142,131,276,504,115,265,49,609,79,727,239,258
"ENSG00000169692",1693,1072,1906,1147,2025,1211,781,1408,1103,1211,2423,1497,860,1066,1255
"ENSG00000177984",0,0,9,14,0,18,10,6,13,139,2,29,0,11,9
"ENSG00000187922",2,30,2,6,2,7,10,5,25,6,6,6,101,117,79
"ENSG00000267206",0,1,0,3,8,0,3,0,24,6,0,0,17,10,22
"ENSG00000165716",80,103,79,21,26,34,74,36,68,21,345,9,117,41,17
"ENSG00000127191",1185,1725,946,843,1037,1940,1075,846,824,806,699,552,1651,746,812
"ENSG00000213213",114,123,63,785,799,1211,1075,329,573,519,154,234,1407,196,602
"ENSG00000196642",4601,3276,3552,5598,6573,16732,6072,4416,5075,5703,4495,4144,11334,3767,4874
"ENSG00000054148",930,740,700,1770,2523,3775,3276,1136,1521,1573,1688,986,5080,1499,2326
"ENSG00000177943",578,991,318,1801,1491,4698,3378,747,1206,1155,588,399,7472,1959,3717
"ENSG00000244187",413,353,332,557,942,822,301,392,383,1182,774,674,754,202,477
"ENSG00000232434",236,336,193,1076,1484,3494,1731,517,618,1066,615,245,3731,821,1785
"ENSG00000107223",1195,1309,1449,1831,2002,2150,1223,2069,2306,1831,2915,1033,1827,1315,1808
"ENSG00000184925",143,488,126,138,149,470,414,343,250,133,67,72,832,215,151
"ENSG00000107317",30,882,74,36,70,64,139,58,39,5,70,27,217,212,105
"ENSG00000214402",6,77,8,5,6,0,22,6,8,0,19,8,33,6,4
"ENSG00000176919",34,18,109,28,60,47,23,14,23,24,69,5,84,24,56
"ENSG00000159069",1910,1823,2101,2099,3190,4571,3031,2185,2146,2352,4103,2047,3521,2075,2467
"ENSG00000148362",592,521,556,439,629,959,461,517,487,411,803,335,907,428,420
"ENSG00000169583",33,24,11,64,441,111,17,29,5,105,70,20,8,41,62
"ENSG00000054179",810,265,228,1382,2188,2180,815,682,468,991,1144,481,1163,345,591
"ENSG00000107331",1822,3816,900,3853,4841,9045,6129,1938,2961,3727,4584,1770,11407,2636,4066
"ENSG00000107281",3055,950,564,5462,4754,13043,5546,2798,3190,5004,2369,2074,10407,3133,4144
"ENSG00000180549",21,15,6,6,10,25,13,18,31,24,16,32,23,24,2
"ENSG00000186193",2597,1060,1391,1427,1444,2138,432,1201,1315,2215,4499,1142,1018,360,838
"ENSG00000197355",586,657,345,433,626,1232,737,965,552,417,556,395,1932,693,522
"ENSG00000177239",2591,2264,1626,2011,2291,3357,2237,1974,1964,1861,1688,1566,2553,1451,1437
"ENSG00000176978",1529,1323,966,641,1258,1312,773,1162,867,674,1865,571,963,713,401
"ENSG00000212864",64,83,41,72,31,124,48,79,44,73,63,44,50,39,53
"ENSG00000197191",11,17,11,12,30,15,4,10,12,10,24,0,3,6,2
"ENSG00000198569",341,861,174,378,254,884,717,551,267,291,250,190,1287,362,433
"ENSG00000176884",21,49,10,46,17,192,270,31,75,42,17,16,132,45,171
"ENSG00000185863",5,0,0,9,8,10,8,4,10,2,0,0,17,10,25
"ENSG00000176248",2436,1773,1424,1670,1592,4796,3558,1827,1788,1501,1487,1343,3973,1864,1755
"ENSG00000184709",206,9,12,336,140,1408,880,239,459,593,248,220,727,152,474
"ENSG00000176101",247,552,158,205,550,291,217,223,499,233,405,221,420,146,376
"ENSG00000188566",754,562,443,422,301,979,554,491,401,302,244,169,968,440,626
"ENSG00000284976",720,578,418,632,693,1224,512,509,562,624,674,353,1186,616,793
"ENSG00000176058",2453,1758,2703,2356,2470,5816,2750,2512,2663,2252,4050,2701,3361,2657,3225
"ENSG00000187713",589,742,104,27,223,444,303,741,32,651,1279,750,125,430,387
"ENSG00000197768",0,9,12,8,0,12,13,2,0,4,10,0,9,8,14
"ENSG00000188163",21,15,23,20,42,33,25,35,29,24,47,25,40,24,17
